"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jan 21 12:57:15 MSK 2020","Tue Jan 21 12:57:15 MSK 2020","22","","com.github.mytestuser.SimpleTest","","com.github.mytestuser.SimpleTest","csvAttachmentTest","csvAttachmentTest()",""
"passed","Tue Jan 21 12:57:17 MSK 2020","Tue Jan 21 12:57:17 MSK 2020","2","","com.github.mytestuser.SimpleTest","","com.github.mytestuser.SimpleTest","mathTest5","mathTest5()",""
"passed","Tue Jan 21 12:57:17 MSK 2020","Tue Jan 21 12:57:17 MSK 2020","1","","com.github.mytestuser.SimpleTest","","com.github.mytestuser.SimpleTest","mathTest16","mathTest16()",""
"passed","Tue Jan 21 12:57:17 MSK 2020","Tue Jan 21 12:57:17 MSK 2020","0","","com.github.mytestuser.SimpleTest","","com.github.mytestuser.SimpleTest","mathTest14","mathTest14()",""
"passed","Tue Jan 21 12:57:15 MSK 2020","Tue Jan 21 12:57:15 MSK 2020","15","","com.github.mytestuser.SimpleTest","","com.github.mytestuser.SimpleTest","issueTmsTest1","issueTmsTest1()",""
"passed","Tue Jan 21 12:57:17 MSK 2020","Tue Jan 21 12:57:17 MSK 2020","2","","com.github.mytestuser.SimpleTest","","com.github.mytestuser.SimpleTest","mathTest17","mathTest17()",""
"failed","Tue Jan 21 12:57:15 MSK 2020","Tue Jan 21 12:57:15 MSK 2020","17","","com.github.mytestuser.SimpleTest","","com.github.mytestuser.SimpleTest","testFlaky","testFlaky()",""
"passed","Tue Jan 21 12:57:17 MSK 2020","Tue Jan 21 12:57:17 MSK 2020","1","","com.github.mytestuser.SimpleTest","","com.github.mytestuser.SimpleTest","checkSumWithLinksTest","checkSumWithLinksTest()",""
"passed","Tue Jan 21 12:57:16 MSK 2020","Tue Jan 21 12:57:16 MSK 2020","23","","com.github.mytestuser.SimpleTest","","com.github.mytestuser.SimpleTest","simpleTestWithAddingAttachments","simpleTestWithAddingAttachments()",""
"passed","Tue Jan 21 12:57:15 MSK 2020","Tue Jan 21 12:57:15 MSK 2020","66","","com.github.mytestuser.SimpleTest","","com.github.mytestuser.SimpleTest","simpleTestWithSteps","simpleTestWithSteps()",""
"passed","Tue Jan 21 12:57:17 MSK 2020","Tue Jan 21 12:57:17 MSK 2020","1","","com.github.mytestuser.SimpleTest","","com.github.mytestuser.SimpleTest","mathTest12","mathTest12()",""
"passed","Tue Jan 21 12:57:17 MSK 2020","Tue Jan 21 12:57:17 MSK 2020","1","","com.github.mytestuser.SimpleTest","","com.github.mytestuser.SimpleTest","mathTest8","mathTest8()",""
"passed","Tue Jan 21 12:57:15 MSK 2020","Tue Jan 21 12:57:16 MSK 2020","748","","com.github.mytestuser.SimpleTest","","com.github.mytestuser.SimpleTest","simpleTestWithAttachments","simpleTestWithAttachments()",""
"passed","Tue Jan 21 12:57:15 MSK 2020","Tue Jan 21 12:57:15 MSK 2020","2","","com.github.mytestuser.SimpleTest","","com.github.mytestuser.SimpleTest","subTest","subTest()",""
"passed","Tue Jan 21 12:57:16 MSK 2020","Tue Jan 21 12:57:16 MSK 2020","1","","com.github.mytestuser.SimpleTest","","com.github.mytestuser.SimpleTest","checkSumWithLinkTest","checkSumWithLinkTest()",""
"passed","Tue Jan 21 12:57:15 MSK 2020","Tue Jan 21 12:57:15 MSK 2020","13","","com.github.mytestuser.SimpleTest","","com.github.mytestuser.SimpleTest","simpleTest","simpleTest()",""
"passed","Tue Jan 21 12:57:16 MSK 2020","Tue Jan 21 12:57:16 MSK 2020","5","","com.github.mytestuser.SimpleTest","","com.github.mytestuser.SimpleTest","mathTest1","mathTest1()",""
"passed","Tue Jan 21 12:57:15 MSK 2020","Tue Jan 21 12:57:15 MSK 2020","1","","com.github.mytestuser.SimpleTest","","com.github.mytestuser.SimpleTest","sumTest","sumTest()",""
"passed","Tue Jan 21 12:57:17 MSK 2020","Tue Jan 21 12:57:17 MSK 2020","1","","com.github.mytestuser.SimpleTest","","com.github.mytestuser.SimpleTest","mathTest9","mathTest9()",""
"passed","Tue Jan 21 12:57:17 MSK 2020","Tue Jan 21 12:57:17 MSK 2020","2","","com.github.mytestuser.SimpleTest","","com.github.mytestuser.SimpleTest","mathTest4","mathTest4()",""
"passed","Tue Jan 21 12:57:17 MSK 2020","Tue Jan 21 12:57:17 MSK 2020","3","","com.github.mytestuser.SimpleTest","","com.github.mytestuser.SimpleTest","svgAttachmentTest","svgAttachmentTest()",""
"passed","Tue Jan 21 12:57:14 MSK 2020","Tue Jan 21 12:57:15 MSK 2020","371","","com.github.mytestuser.SimpleTest","","com.github.mytestuser.SimpleTest","testSeverity","testSeverity()",""
"passed","Tue Jan 21 12:57:17 MSK 2020","Tue Jan 21 12:57:17 MSK 2020","1","","com.github.mytestuser.SimpleTest","","com.github.mytestuser.SimpleTest","mathTest20","mathTest20()",""
"broken","Tue Jan 21 12:57:16 MSK 2020","Tue Jan 21 12:57:16 MSK 2020","1","","com.github.mytestuser.SimpleTest","","com.github.mytestuser.SimpleTest","throwAnExceptionTest","throwAnExceptionTest()",""
"passed","Tue Jan 21 12:57:17 MSK 2020","Tue Jan 21 12:57:17 MSK 2020","2","","com.github.mytestuser.SimpleTest","","com.github.mytestuser.SimpleTest","mathTest6","mathTest6()",""
"passed","Tue Jan 21 12:57:17 MSK 2020","Tue Jan 21 12:57:17 MSK 2020","1","","com.github.mytestuser.SimpleTest","","com.github.mytestuser.SimpleTest","mathTest7","mathTest7()",""
"passed","Tue Jan 21 12:57:17 MSK 2020","Tue Jan 21 12:57:17 MSK 2020","0","","com.github.mytestuser.SimpleTest","","com.github.mytestuser.SimpleTest","mathTest19","mathTest19()",""
"passed","Tue Jan 21 12:57:17 MSK 2020","Tue Jan 21 12:57:17 MSK 2020","1","","com.github.mytestuser.SimpleTest","","com.github.mytestuser.SimpleTest","mathTest18","mathTest18()",""
"passed","Tue Jan 21 12:57:17 MSK 2020","Tue Jan 21 12:57:17 MSK 2020","1","","com.github.mytestuser.SimpleTest","","com.github.mytestuser.SimpleTest","mathTest13","mathTest13()",""
"passed","Tue Jan 21 12:57:15 MSK 2020","Tue Jan 21 12:57:15 MSK 2020","1","","com.github.mytestuser.SimpleTest","","com.github.mytestuser.SimpleTest","testOwner","testOwner()",""
"passed","Tue Jan 21 12:57:16 MSK 2020","Tue Jan 21 12:57:16 MSK 2020","1","","com.github.mytestuser.SimpleTest","","com.github.mytestuser.SimpleTest","mathTest2","mathTest2()",""
"failed","Tue Jan 21 12:57:16 MSK 2020","Tue Jan 21 12:57:16 MSK 2020","3","","com.github.mytestuser.SimpleTest","","com.github.mytestuser.SimpleTest","failedTest","failedTest()",""
"passed","Tue Jan 21 12:57:15 MSK 2020","Tue Jan 21 12:57:15 MSK 2020","1","","com.github.mytestuser.SimpleTest","","com.github.mytestuser.SimpleTest","issueTmsTest2","issueTmsTest2()",""
"passed","Tue Jan 21 12:57:17 MSK 2020","Tue Jan 21 12:57:17 MSK 2020","1","","com.github.mytestuser.SimpleTest","","com.github.mytestuser.SimpleTest","mathTest15","mathTest15()",""
"passed","Tue Jan 21 12:57:17 MSK 2020","Tue Jan 21 12:57:17 MSK 2020","0","","com.github.mytestuser.SimpleTest","","com.github.mytestuser.SimpleTest","equivalenceTest","equivalenceTest()","The test checks the equivalence of the number 1 to the number 1"
"failed","Tue Jan 21 12:57:17 MSK 2020","Tue Jan 21 12:57:17 MSK 2020","5","","com.github.mytestuser.SimpleTest","","com.github.mytestuser.SimpleTest","checkSinTest","checkSinTest()",""
"passed","Tue Jan 21 12:57:17 MSK 2020","Tue Jan 21 12:57:17 MSK 2020","1","","com.github.mytestuser.SimpleTest","","com.github.mytestuser.SimpleTest","mathTest10","mathTest10()",""
"passed","Tue Jan 21 12:57:17 MSK 2020","Tue Jan 21 12:57:17 MSK 2020","1","","com.github.mytestuser.SimpleTest","","com.github.mytestuser.SimpleTest","mathTest11","mathTest11()",""
"passed","Tue Jan 21 12:57:17 MSK 2020","Tue Jan 21 12:57:17 MSK 2020","1","","com.github.mytestuser.SimpleTest","","com.github.mytestuser.SimpleTest","mathTest3","mathTest3()",""
